No,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효 슈팅,차단된슈팅,벗어난슈팅,PA내 슈팅,PA외 슈팅,오프사이드,프리킥,코너킥,스로인,드리블 시도,드리블 성공,패스 시도,패스 성공,키패스,전방 패스 시도,전방 패스 성공,후방 패스 시도,후방 패스 성공,횡패스 시도,횡패스 성공,공격지역패스 시도,공격지역패스 성공,수비지역패스 시도,수비지역패스 성공,중앙지역패스 시도,중앙지역패스 성공,롱패스 시도,롱패스 성공,중거리패스 시도,중거리패스 성공,숏패스 시도,숏패스 성공,크로스 시도,크로스 성공,경합 지상 시도,경합 지상 성공,경합 공중 시도,경합 공중 성공,태클 시도,태클 성공,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,대회년도,대회명,팀명,경기명,라운드,상대팀명
13,이찬동,대기,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,2,1,1,1,2,2,3,2,0,0,2,2,2,1,0,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,대구,36R / 제주(H),36R , 제주(H)
14,에드가,대기,9,69,0,0,2,0,1,1,1,1,0,0,0,0,0,0,18,13,0,9,6,4,3,5,4,5,2,0,0,13,11,4,3,4,3,10,7,0,0,2,1,11,4,0,0,0,0,1,1,2,1,2,1,0,0,2024,하나은행 K리그1,대구,36R / 제주(H),36R , 제주(H)
15,정치인,대기,32,52,0,0,3,2,0,1,2,1,0,0,0,1,0,0,10,8,1,2,2,6,5,2,1,3,2,0,0,7,6,0,0,0,0,10,8,0,0,0,0,5,1,0,0,0,0,1,2,1,1,2,0,0,0,2024,하나은행 K리그1,대구,36R / 제주(H),36R , 제주(H)
16,고재현,대기,10,19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,5,0,3,2,2,2,1,1,4,3,0,0,2,2,0,0,2,1,4,4,0,0,0,0,2,2,2,0,0,0,0,2,0,0,1,0,0,0,2024,하나은행 K리그1,대구,36R / 제주(H),36R , 제주(H)
17,이용래,대기,74,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,대구,36R / 제주(H),36R , 제주(H)
18,박재현,대기,29,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,대구,36R / 제주(H),36R , 제주(H)
19,한태희,대기,31,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,대구,36R / 제주(H),36R , 제주(H)
20,정재상,대기,18,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,대구,36R / 제주(H),36R , 제주(H)
1,오승훈,GK,21,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,23,0,25,16,0,0,7,7,0,0,32,23,0,0,16,7,6,6,10,10,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,2024,하나은행 K리그1,대구,37R / 전북(A),37R , 전북(A)
2,박진영,DF,40,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,15,0,9,4,3,3,10,8,1,0,10,8,11,7,3,0,12,12,7,3,0,0,0,0,3,1,3,2,4,0,4,2,0,0,0,0,0,0,2024,하나은행 K리그1,대구,37R / 전북(A),37R , 전북(A)
