No,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효 슈팅,차단된슈팅,벗어난슈팅,PA내 슈팅,PA외 슈팅,오프사이드,프리킥,코너킥,스로인,드리블 시도,드리블 성공,패스 시도,패스 성공,키패스,전방 패스 시도,전방 패스 성공,후방 패스 시도,후방 패스 성공,횡패스 시도,횡패스 성공,공격지역패스 시도,공격지역패스 성공,수비지역패스 시도,수비지역패스 성공,중앙지역패스 시도,중앙지역패스 성공,롱패스 시도,롱패스 성공,중거리패스 시도,중거리패스 성공,숏패스 시도,숏패스 성공,크로스 시도,크로스 성공,경합 지상 시도,경합 지상 성공,경합 공중 시도,경합 공중 성공,태클 시도,태클 성공,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,대회년도,대회명,팀명,경기명,라운드,상대팀명
3,카이오,DF,4,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,23,0,8,7,3,3,13,13,0,0,16,16,8,7,5,4,14,14,5,5,0,0,2,2,1,1,3,1,7,1,4,1,3,0,1,0,0,0,2024,하나은행 K리그1,대구,34R / 광주(A),34R , 광주(A)
4,박진영,DF,40,100,0,0,0,0,0,0,0,0,0,2,0,0,0,0,49,44,0,18,14,15,15,16,15,0,0,24,22,25,22,5,4,28,27,16,13,1,1,1,0,5,2,2,1,4,0,2,9,1,0,1,0,1,0,2024,하나은행 K리그1,대구,34R / 광주(A),34R , 광주(A)
5,홍철,MF,33,72,0,0,0,0,0,0,0,0,0,0,0,10,0,0,27,20,0,10,4,11,10,6,6,3,2,5,2,19,16,5,2,7,7,15,11,1,0,0,0,0,0,1,1,1,1,0,5,0,0,2,2,0,0,2024,하나은행 K리그1,대구,34R / 광주(A),34R , 광주(A)
6,요시노,MF,5,72,0,0,1,0,0,1,0,1,0,0,0,0,0,0,24,16,0,9,2,7,6,8,8,6,3,2,1,16,12,5,2,7,6,12,8,0,0,2,2,2,0,4,2,0,0,1,4,0,0,0,2,0,0,2024,하나은행 K리그1,대구,34R / 광주(A),34R , 광주(A)
7,황재원,MF,2,100,0,0,0,0,0,0,0,0,0,2,0,7,1,0,51,45,1,23,17,17,17,11,11,11,11,9,7,31,27,4,1,20,17,27,27,5,1,0,0,3,2,0,0,0,2,3,8,0,1,1,0,0,0,2024,하나은행 K리그1,대구,34R / 광주(A),34R , 광주(A)
8,박세진,MF,14,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,23,0,11,8,10,10,6,5,6,4,4,3,17,16,4,3,7,6,16,14,1,0,1,1,0,0,0,0,0,1,1,5,2,0,0,1,0,0,2024,하나은행 K리그1,대구,34R / 광주(A),34R , 광주(A)
9,정치인,FW,32,86,0,0,1,0,0,1,0,1,1,0,0,0,1,0,12,10,0,4,3,5,5,3,2,2,2,0,0,10,8,0,0,3,2,9,8,1,0,0,0,9,4,1,0,0,1,0,3,2,0,0,0,0,0,2024,하나은행 K리그1,대구,34R / 광주(A),34R , 광주(A)
10,이탈로,FW,17,64,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11,9,1,5,5,3,3,3,1,2,2,0,0,9,7,1,1,0,0,10,8,1,1,2,1,4,1,1,1,0,0,1,2,0,0,1,1,0,0,2024,하나은행 K리그1,대구,34R / 광주(A),34R , 광주(A)
11,세징야,FW,11,100,0,1,3,0,1,2,1,2,0,7,1,0,1,0,17,13,1,9,7,2,2,6,4,5,4,1,0,11,9,3,2,5,3,9,8,7,3,5,3,3,1,2,0,0,0,1,6,1,1,1,6,1,0,2024,하나은행 K리그1,대구,34R / 광주(A),34R , 광주(A)
12,고재현,대기,10,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,0,1,0,0,0,2,2,0,0,1,1,2,1,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2024,하나은행 K리그1,대구,34R / 광주(A),34R , 광주(A)
13,에드가,대기,9,36,1,0,1,1,0,0,1,0,0,0,0,0,1,0,7,4,0,3,2,2,2,2,0,4,4,0,0,3,0,0,0,2,2,5,2,0,0,4,4,8,6,1,0,0,0,0,1,1,0,2,0,0,0,2024,하나은행 K리그1,대구,34R / 광주(A),34R , 광주(A)
14,장성원,대기,22,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,4,0,4,2,2,2,0,0,0,0,2,1,4,3,2,0,2,2,2,2,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,2024,하나은행 K리그1,대구,34R / 광주(A),34R , 광주(A)
15,이찬동,대기,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,3,0,0,0,2,1,1,0,2024,하나은행 K리그1,대구,34R / 광주(A),34R , 광주(A)
16,박용희,대기,30,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,1,2,1,1,1,0,0,2,1,0,0,0,0,3,2,0,0,0,0,1,0,1,1,0,0,0,1,0,0,2,0,0,0,2024,하나은행 K리그1,대구,34R / 광주(A),34R , 광주(A)
17,이용래,대기,74,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,대구,34R / 광주(A),34R , 광주(A)
18,바셀루스,대기,99,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,대구,34R / 광주(A),34R , 광주(A)
19,최영은,대기,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,대구,34R / 광주(A),34R , 광주(A)
20,박재현,대기,29,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,대구,34R / 광주(A),34R , 광주(A)
1,오승훈,GK,21,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,26,0,26,22,0,0,4,4,0,0,30,26,0,0,19,15,10,10,1,1,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,2024,하나은행 K리그1,대구,35R / 대전(A),35R , 대전(A)
